Geographic Area Name (NAME),"Area (Land, in square meters) (AREALAND)","Area (Water, in square meters) (AREAWATR)","Area (Land, in square miles) (AREALAND_SQMI)","Area (Water, in square miles) (AREAWATR_SQMI)",Latitude,Longitude
Census Tract 5032.17; Santa Clara County; California,"601,903",0,0.232,0,37.2867501,−121.8303183
Census Tract 5032.18; Santa Clara County; California,"590,505",0,0.228,0,37.2804873,−121.8299569
Census Tract 5032.19; Santa Clara County; California,"484,157",0,0.187,0,37.292524,−121.8417606
Census Tract 5032.20; Santa Clara County; California,"949,951",0,0.367,0,37.2873934,−121.8380451
Census Tract 5032.21; Santa Clara County; California,"1,054,979",0,0.407,0,37.3012945,−121.8501153
Census Tract 5032.22; Santa Clara County; California,"751,197",0,0.29,0,37.2961288,−121.8451132
Census Tract 5033.04; Santa Clara County; California,"1,487,588",0,0.574,0,37.3126099,−121.8212218
Census Tract 5033.05; Santa Clara County; California,"2,324,266",0,0.897,0,37.3198735,−121.8146799
Census Tract 5033.06; Santa Clara County; California,"1,667,566",0,0.644,0,37.3314079,−121.8221358
Census Tract 5033.12; Santa Clara County; California,"15,066,853",0,5.817,0,37.3488536,−121.7629460
Census Tract 5033.13; Santa Clara County; California,"1,606,057",0,0.62,0,37.3312838,−121.7764695
Census Tract 5033.15; Santa Clara County; California,"1,647,150",0,0.636,0,37.3184032,−121.8013312
Census Tract 5033.21; Santa Clara County; California,"1,753,664","246,839",0.677,0.095,37.3320024,−121.8050953
Census Tract 5033.22; Santa Clara County; California,"1,443,922",0,0.558,0,37.3413457,−121.7977324
Census Tract 5033.23; Santa Clara County; California,"1,131,863",0,0.437,0,37.3336993,−121.7916431
Census Tract 5033.24; Santa Clara County; California,"827,970",0,0.32,0,37.3276407,−121.7892747
Census Tract 5033.25; Santa Clara County; California,"1,138,412",0,0.44,0,37.3206767,−121.7888418
Census Tract 5033.26; Santa Clara County; California,"4,260,151",0,1.645,0,37.3249229,−121.7641570
Census Tract 5033.27; Santa Clara County; California,"1,440,282",0,0.556,0,37.308027,−121.7887155
Census Tract 5033.29; Santa Clara County; California,"1,164,082",0,0.449,0,37.3115146,−121.7792789
Census Tract 5033.30; Santa Clara County; California,"17,811,691",0,6.877,0,37.3089937,−121.7397926
Census Tract 5033.31; Santa Clara County; California,"1,365,613",0,0.527,0,37.2948911,−121.7588008
Census Tract 5033.32; Santa Clara County; California,"7,849,296",0,3.031,0,37.281521,−121.7383531
